start	strand	num_CoV_aligned	specificity
1	-	0	1
2	-	0	1
3	-	0	1
4	-	0	1
5	-	0	1
6	-	0	1
7	-	0	1
8	-	0	1
9	-	0	1
10	-	0	1
11	-	0	1
12	-	0	1
13	-	0	1
14	-	0	1
15	-	0	1
16	-	0	1
17	-	0	1
18	-	0	1
19	-	0	1
20	-	0	1
21	-	0	1
22	-	0	1
23	-	0	1
24	-	0	1
25	-	0	1
26	-	0	1
27	-	0	1
28	-	0	1
29	-	0	1
30	-	0	1
31	-	0	1
32	-	0	1
33	-	0	1
34	-	0	1
35	-	0	1
36	-	0	1
37	-	0	1
38	-	0	1
39	-	0	1
40	-	0	1
41	-	1	0.833333333333333
42	-	1	0.833333333333333
43	-	1	0.833333333333333
44	-	1	0.833333333333333
45	-	1	0.833333333333333
46	-	1	0.833333333333333
47	-	1	0.833333333333333
48	-	1	0.833333333333333
49	-	1	0.833333333333333
50	-	1	0.833333333333333
51	-	1	0.833333333333333
52	-	1	0.833333333333333
53	-	1	0.833333333333333
54	-	1	0.833333333333333
55	-	1	0.833333333333333
56	-	1	0.833333333333333
57	-	1	0.833333333333333
58	-	1	0.833333333333333
59	-	1	0.833333333333333
60	-	1	0.833333333333333
61	-	1	0.833333333333333
62	-	1	0.833333333333333
63	-	1	0.833333333333333
64	-	1	0.833333333333333
65	-	1	0.833333333333333
66	-	1	0.833333333333333
67	-	1	0.833333333333333
68	-	1	0.833333333333333
69	-	1	0.833333333333333
70	-	1	0.833333333333333
71	-	1	0.833333333333333
72	-	1	0.833333333333333
73	-	1	0.833333333333333
74	-	1	0.833333333333333
75	-	1	0.833333333333333
76	-	1	0.833333333333333
77	-	1	0.833333333333333
78	-	1	0.833333333333333
79	-	1	0.833333333333333
80	-	1	0.833333333333333
81	-	1	0.833333333333333
82	-	1	0.833333333333333
83	-	1	0.833333333333333
84	-	1	0.833333333333333
85	-	1	0.833333333333333
86	-	1	0.833333333333333
87	-	1	0.833333333333333
88	-	1	0.833333333333333
89	-	1	0.833333333333333
90	-	1	0.833333333333333
91	-	1	0.833333333333333
92	-	1	0.833333333333333
93	-	1	0.833333333333333
94	-	1	0.833333333333333
95	-	1	0.833333333333333
96	-	1	0.833333333333333
97	-	1	0.833333333333333
98	-	1	0.833333333333333
99	-	1	0.833333333333333
100	-	1	0.833333333333333
101	-	1	0.833333333333333
102	-	0	1
103	-	0	1
104	-	0	1
105	-	0	1
106	-	0	1
107	-	0	1
108	-	0	1
109	-	0	1
110	-	0	1
111	-	0	1
112	-	1	0.833333333333333
113	-	1	0.833333333333333
114	-	0	1
115	-	0	1
116	-	0	1
117	-	0	1
118	-	0	1
119	-	0	1
120	-	0	1
121	-	0	1
122	-	0	1
123	-	0	1
124	-	0	1
125	-	0	1
126	-	0	1
127	-	0	1
128	-	0	1
129	-	0	1
130	-	0	1
131	-	0	1
132	-	0	1
133	-	0	1
134	-	0	1
135	-	0	1
136	-	0	1
137	-	0	1
138	-	0	1
139	-	0	1
140	-	0	1
141	-	0	1
142	-	0	1
143	-	0	1
144	-	1	0.833333333333333
145	-	1	0.833333333333333
146	-	1	0.833333333333333
147	-	1	0.833333333333333
148	-	1	0.833333333333333
149	-	1	0.833333333333333
150	-	1	0.833333333333333
151	-	1	0.833333333333333
152	-	1	0.833333333333333
153	-	1	0.833333333333333
154	-	1	0.833333333333333
155	-	1	0.833333333333333
156	-	1	0.833333333333333
157	-	1	0.833333333333333
158	-	0	1
159	-	0	1
160	-	0	1
161	-	0	1
162	-	0	1
163	-	1	0.833333333333333
164	-	1	0.833333333333333
165	-	1	0.833333333333333
166	-	1	0.833333333333333
167	-	1	0.833333333333333
168	-	1	0.833333333333333
169	-	1	0.833333333333333
170	-	0	1
171	-	0	1
172	-	0	1
173	-	0	1
174	-	0	1
175	-	0	1
176	-	0	1
177	-	0	1
178	-	1	0.833333333333333
179	-	1	0.833333333333333
180	-	1	0.833333333333333
181	-	1	0.833333333333333
182	-	1	0.833333333333333
183	-	1	0.833333333333333
184	-	1	0.833333333333333
185	-	1	0.833333333333333
186	-	1	0.833333333333333
187	-	1	0.833333333333333
188	-	1	0.833333333333333
189	-	1	0.833333333333333
190	-	1	0.833333333333333
191	-	1	0.833333333333333
192	-	1	0.833333333333333
193	-	1	0.833333333333333
194	-	1	0.833333333333333
195	-	1	0.833333333333333
196	-	1	0.833333333333333
197	-	1	0.833333333333333
198	-	1	0.833333333333333
199	-	1	0.833333333333333
200	-	1	0.833333333333333
201	-	1	0.833333333333333
202	-	1	0.833333333333333
203	-	1	0.833333333333333
204	-	1	0.833333333333333
205	-	1	0.833333333333333
206	-	1	0.833333333333333
207	-	1	0.833333333333333
208	-	1	0.833333333333333
209	-	1	0.833333333333333
210	-	1	0.833333333333333
211	-	1	0.833333333333333
212	-	1	0.833333333333333
213	-	0	1
214	-	0	1
215	-	0	1
216	-	0	1
217	-	0	1
218	-	1	0.833333333333333
219	-	1	0.833333333333333
220	-	1	0.833333333333333
221	-	1	0.833333333333333
222	-	1	0.833333333333333
223	-	1	0.833333333333333
224	-	1	0.833333333333333
225	-	1	0.833333333333333
226	-	1	0.833333333333333
227	-	1	0.833333333333333
228	-	1	0.833333333333333
229	-	1	0.833333333333333
230	-	1	0.833333333333333
231	-	1	0.833333333333333
232	-	1	0.833333333333333
233	-	1	0.833333333333333
234	-	1	0.833333333333333
235	-	1	0.833333333333333
236	-	1	0.833333333333333
237	-	1	0.833333333333333
238	-	1	0.833333333333333
239	-	1	0.833333333333333
240	-	1	0.833333333333333
241	-	1	0.833333333333333
242	-	1	0.833333333333333
243	-	1	0.833333333333333
244	-	1	0.833333333333333
245	-	1	0.833333333333333
246	-	1	0.833333333333333
247	-	1	0.833333333333333
248	-	1	0.833333333333333
249	-	1	0.833333333333333
250	-	1	0.833333333333333
251	-	1	0.833333333333333
252	-	1	0.833333333333333
253	-	1	0.833333333333333
254	-	1	0.833333333333333
255	-	1	0.833333333333333
256	-	1	0.833333333333333
257	-	1	0.833333333333333
258	-	1	0.833333333333333
259	-	1	0.833333333333333
260	-	1	0.833333333333333
261	-	1	0.833333333333333
262	-	1	0.833333333333333
263	-	1	0.833333333333333
264	-	1	0.833333333333333
265	-	1	0.833333333333333
266	-	1	0.833333333333333
267	-	1	0.833333333333333
268	-	0	1
269	-	0	1
270	-	0	1
271	-	0	1
272	-	0	1
273	-	0	1
274	-	0	1
275	-	0	1
276	-	0	1
277	-	0	1
278	-	0	1
279	-	0	1
280	-	0	1
281	-	1	0.833333333333333
282	-	1	0.833333333333333
283	-	1	0.833333333333333
284	-	1	0.833333333333333
285	-	1	0.833333333333333
286	-	1	0.833333333333333
287	-	1	0.833333333333333
288	-	1	0.833333333333333
289	-	1	0.833333333333333
290	-	1	0.833333333333333
291	-	1	0.833333333333333
292	-	1	0.833333333333333
293	-	1	0.833333333333333
294	-	1	0.833333333333333
295	-	1	0.833333333333333
296	-	1	0.833333333333333
297	-	1	0.833333333333333
298	-	1	0.833333333333333
299	-	1	0.833333333333333
300	-	1	0.833333333333333
301	-	1	0.833333333333333
302	-	1	0.833333333333333
303	-	1	0.833333333333333
304	-	1	0.833333333333333
305	-	1	0.833333333333333
306	-	1	0.833333333333333
307	-	1	0.833333333333333
308	-	1	0.833333333333333
309	-	0	1
310	-	0	1
311	-	0	1
312	-	0	1
313	-	0	1
314	-	0	1
315	-	0	1
316	-	0	1
317	-	0	1
318	-	0	1
319	-	0	1
320	-	0	1
321	-	0	1
322	-	0	1
323	-	0	1
324	-	0	1
325	-	0	1
326	-	0	1
327	-	0	1
328	-	0	1
329	-	0	1
330	-	0	1
331	-	0	1
332	-	0	1
333	-	0	1
334	-	0	1
335	-	0	1
336	-	0	1
337	-	0	1
338	-	1	0.833333333333333
339	-	0	1
340	-	0	1
341	-	0	1
342	-	0	1
343	-	0	1
344	-	0	1
